ID,Kichwa,Spanish,sentimientos
0,abya yala,continente americano ,0.698709377
1,abyalami chawchuri rikurimanta,racismo en américa ,0.347136649
2,allpapi tiyashkakuna ,accidentes geograficos,0.713207115
3,wayku ,acequia,0.541333261
4,achachilasa- ñawpa kawsakkuna kitsil,antepasados ,0.945176617
5,achik,claro- luz ,0.54774029
6,achik mama,madrina ,0.362813601
7,achik wawa,ahijado- ahijada ,0.988226742
8,achik yaya / achik tayta,padrino ,0.223548446
9,achiksamaytu,ozono ,0.040049366
10,achikshumaytu,ozono ,0.040049366
11,achikyachina yuyaymanta,aclarar ,0.541333261
12,achikyana punchamanta,aclarar ,0.541333261
13,achka,mucho ,0.642949541
14,achkak,suficiente ,0.605496944
15,ahak,ofensor ,0.541333261
16,ahay,ofender- ofensa ,0.159321224
17,akapi,cebada ,0.21697253
18,akcha,pelo- cabello ,0.224713387
19,akcha kara,cuero cabelludo ,0.089038932
20,akllashka chani,muestra estadística ,0.816965738
21,akllawarmi,virgen ,0.719534206
22,akllay,escoger ,0.672228144
23,akna,ceremonia ,0.859912774
24,akukutinchik,múltiplo del gramo ,0.297647677
25,akuna,masticar ,0.541333261
26,akuy,vil ,0.010256164
27,alakay,alcanzar ,0.541333261
28,alapana,pegar- adherir ,0.541333261
29,alaparina,apegarse- aferrarse ,0.094439857
30,allana,excavar ,0.541333261
31,allawka,derecha mano ,0.280931326
32,allawka- alliman,derecho ,0.456029327
33,alli,bien- bueno ,0.881889209
34,alli maki,mano derecha ,0.280931326
35,allichi,adorno ,0.297867711
36,allichina,arreglar ,0.145430943
37,allichiy,arreglar ,0.145430943
38,allikachina,gustar ,0.740599575
39,allikay,salud- bneficio ,0.541333261
40,allikillkay,ortografía ,0.008584588
41,allikillkay w,ortografía ,0.008584588
42,allimanta,despacio- de buena manera ,0.770928819
43,allimikuy,nutrición ,0.084837154
44,allin,magnifico ,0.949810988
45,alliyana,sanar- curar ,0.290568336
46,alliyay,recuperar la salud ,0.172651093
47,allku,perro ,0.56903703
48,allpa,tierra- suelo ,0.632890744
49,allpa kara,corteza terrestre ,0.166030471
50,allpa khiwa,hierba rastrera ,0.041834623
51,allpachawpipacha muyuy,línea ecuatorial ,0.294496503
52,allpachinkari,erosión ,0.98603265
53,allpachinkariy,erosión ,0.98603265
54,allpachukchuy,temblor ,0.261556293
55,allpakamay saywachi,geografía política ,0.467856264
56,allpakutik,movimiento de nutación ,0.823046395
57,allpamama chaska,planeta tierra ,0.646795313
58,allpamamakamay,geografía ,0.635897897
59,allpamamapi rikuchi,ubicación geográfica ,0.541333261
60,allpampay,superficie de la tierra ,0.794226413
61,allpamuyuy,movimiento de traslación ,0.823046395
62,allpanpa,superficial ,0.257202751
63,allpapacha,continente ,0.784183043
64,allpapachakak,natural ,0.71501595
65,allpapachapampa,superficie de la tierra ,0.794226413
66,allpapachapi tiyak chalwakuna,recursos ictiológicos ,0.238883569
67,allpapachapi tiyak chukikuna,recursos mineros ,0.238883569
68,allpapachapi tiyak yakukuna,recursos hidrográfico ,0.238883569
69,allpapachapi tiyak yurakuna,recursos forestales ,0.103773841
70,allpapachapi tiyakuna,recursos naturales ,0.536881819
71,allpapiruruy,movimiento de rotación ,0.438241451
72,allparantikillka,escritura ,0.541333261
73,allpashuyu,mapa ,0.764209378
74,allpashuyukamay,cartografía ,0.917679475
75,allpawaklliyay,erosión ,0.98603265
76,allpawira,petróleo ,0.107920507
77,allpawira- wisisi,petróleo ,0.107920507
78,allpawku,subterráneo ,0.866024177
79,allpañan,vía terrestre ,0.170698771
80,allpañutuchina,desterronar ,0.541333261
